,name,hierarchy,countries,iso3
88,GCAM 7.1|EU-15,GCAM 7.1,"['Denmark', 'Ireland', 'Austria', 'Finland', 'Falkland Islands (Malvinas)', 'France', 'Greenland', 'Germany', 'Greece', 'Italy', 'Belgium', 'Faroe Islands', 'Andorra', 'Gibraltar', 'Isle of Man', 'Luxembourg', 'Monaco', 'Netherlands', 'Portugal', 'Spain', 'Sweden', 'United Kingdom', 'British Virgin Islands', 'Saint Pierre and Miquelon', 'San Marino', 'Turks and Caicos Islands']","['DNK', 'IRL', 'AUT', 'FIN', 'FLK', 'FRA', 'GRL', 'DEU', 'GRC', 'ITA', 'BEL', 'FRO', 'AND', 'GIB', 'IMN', 'LUX', 'MCO', 'NLD', 'PRT', 'ESP', 'SWE', 'GBR', 'VGB', 'SPM', 'SMR', 'TCA']"
89,GCAM 7.1|Europe_Eastern,GCAM 7.1,"['Belarus', 'Moldova', 'Ukraine']","['BLR', 'MDA', 'UKR']"
90,GCAM 7.1|Europe_Non_EU,GCAM 7.1,"['Albania', 'Bosnia and Herzegovina', 'Croatia', 'North Macedonia', 'Montenegro', 'Turkey', 'Serbia']","['ALB', 'BIH', 'HRV', 'MKD', 'MNE', 'TUR', 'SRB']"
91,GCAM 7.1|European Free Trade Association,GCAM 7.1,"['Iceland', 'Liechtenstein', 'Norway', 'Switzerland']","['ISL', 'LIE', 'NOR', 'CHE']"
92,GCAM 7.1|India,GCAM 7.1,['India'],['IND']
93,GCAM 7.1|Indonesia,GCAM 7.1,['Indonesia'],['IDN']
94,GCAM 7.1|Japan,GCAM 7.1,['Japan'],['JPN']
95,GCAM 7.1|Mexico,GCAM 7.1,['Mexico'],['MEX']
96,GCAM 7.1|Middle East,GCAM 7.1,"['Bahrain', 'Iran', 'Israel', 'Iraq', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'Yemen', 'United Arab Emirates']","['BHR', 'IRN', 'ISR', 'IRQ', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'YEM', 'ARE']"
97,GCAM 7.1|Pakistan,GCAM 7.1,['Pakistan'],['PAK']
98,GCAM 7.1|Russia,GCAM 7.1,['Russian Federation'],['RUS']
99,GCAM 7.1|South Africa,GCAM 7.1,['South Africa'],['ZAF']
100,GCAM 7.1|South America_Northern,GCAM 7.1,"['French Guiana', 'Guyana', 'Suriname', 'Venezuela']","['GUF', 'GUY', 'SUR', 'VEN']"
101,GCAM 7.1|South America_Southern,GCAM 7.1,"['Bolivia', 'Chile', 'Ecuador', 'Paraguay', 'Peru', 'Uruguay']","['BOL', 'CHL', 'ECU', 'PRY', 'PER', 'URY']"
102,GCAM 7.1|South Asia,GCAM 7.1,"['Bangladesh', 'Sri Lanka', 'Afghanistan', 'Bhutan', 'Maldives', 'Nepal']","['BGD', 'LKA', 'AFG', 'BTN', 'MDV', 'NPL']"
103,GCAM 7.1|South Korea,GCAM 7.1,['South Korea'],['KOR']
104,GCAM 7.1|Southeast Asia,GCAM 7.1,"['American Samoa', 'Myanmar', 'Solomon Islands', 'Brunei Darussalam', 'Cambodia', 'Cook Islands', 'Fiji', 'Micronesia', 'French Polynesia', 'Guam', 'North Korea', 'Kiribati', 'Laos', 'Malaysia', 'New Caledonia', 'Niue', 'Northern Mariana Islands', 'Mayotte', 'Norfolk Island', 'Cocos (Keeling) Islands', 'Christmas Island', 'Vanuatu', 'Nauru', 'Papua New Guinea', 'Philippines', 'Seychelles', 'Singapore', 'Thailand', 'Tokelau', 'Tonga', 'Tuvalu', 'Viet Nam', 'Samoa', 'Timor-Leste', 'Palau', 'Marshall Islands']","['ASM', 'MMR', 'SLB', 'BRN', 'KHM', 'COK', 'FJI', 'FSM', 'PYF', 'GUM', 'PRK', 'KIR', 'LAO', 'MYS', 'NCL', 'NIU', 'MNP', 'MYT', 'NFK', 'CCK', 'CXR', 'VUT', 'NRU', 'PNG', 'PHL', 'SYC', 'SGP', 'THA', 'TKL', 'TON', 'TUV', 'VNM', 'WSM', 'TLS', 'PLW', 'MHL']"
105,GCAM 7.1|Taiwan,GCAM 7.1,['Taiwan'],['TWN']
106,GCAM 7.1|USA,GCAM 7.1,"['Puerto Rico', 'United States', 'United States Virgin Islands']","['PRI', 'USA', 'VIR']"
107,"REMIND 3.1|Canada, Australia, New Zealand",REMIND 3.1,"['Australia', 'Canada', 'Heard Island and McDonald Islands', 'New Zealand', 'Saint Pierre and Miquelon']","['AUS', 'CAN', 'HMD', 'NZL', 'SPM']"
108,REMIND 3.1|China and Taiwan,REMIND 3.1,"['China', 'Hong Kong', 'Macao', 'Taiwan']","['CHN', 'HKG', 'MAC', 'TWN']"
109,REMIND 3.1|India,REMIND 3.1,['India'],['IND']
110,REMIND 3.1|Japan,REMIND 3.1,['Japan'],['JPN']
111,REMIND 3.1|Other Asia,REMIND 3.1,"['Afghanistan', 'American Samoa', 'Bangladesh', 'Bhutan', 'British Indian Ocean Territory', 'Brunei Darussalam', 'Cambodia', 'Christmas Island', 'Cocos (Keeling) Islands', 'Cook Islands', 'Fiji', 'French Polynesia', 'French Southern Territories', 'Guam', 'Indonesia', 'Kiribati', 'Laos', 'Malaysia', 'Maldives', 'Marshall Islands', 'Micronesia', 'Mongolia', 'Myanmar', 'Nauru', 'Nepal', 'New Caledonia', 'Niue', 'Norfolk Island', 'North Korea', 'Northern Mariana Islands', 'Pakistan', 'Palau', 'Papua New Guinea', 'Philippines', 'Pitcairn', 'Samoa', 'Singapore', 'Solomon Islands', 'South Korea', 'Sri Lanka', 'Thailand', 'Timor-Leste', 'Tokelau', 'Tonga', 'Tuvalu', 'United States Minor Outlying Islands', 'Vanuatu', 'Viet Nam', 'Wallis and Futuna']","['AFG', 'ASM', 'BGD', 'BTN', 'IOT', 'BRN', 'KHM', 'CXR', 'CCK', 'COK', 'FJI', 'PYF', 'ATF', 'GUM', 'IDN', 'KIR', 'LAO', 'MYS', 'MDV', 'MHL', 'FSM', 'MNG', 'MMR', 'NRU', 'NPL', 'NCL', 'NIU', 'NFK', 'PRK', 'MNP', 'PAK', 'PLW', 'PNG', 'PHL', 'PCN', 'WSM', 'SGP', 'SLB', 'KOR', 'LKA', 'THA', 'TLS', 'TKL', 'TON', 'TUV', 'UMI', 'VUT', 'VNM', 'WLF']"
