model,scenario,region,variable,unit,method
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|NH3|Aircraft,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Energy Sector,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Forest Burning,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Grassland Burning,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Industrial Sector,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|NH3|International Shipping,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Peat Burning,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Residential Commercial Other,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Solvents Production and Application,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Transportation Sector,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NH3|Waste,Mt NH3/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Agricultural Waste Burning,Mt NO2/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Agriculture,Mt NO2/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|NOx|Aircraft,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Energy Sector,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Forest Burning,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Grassland Burning,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Industrial Sector,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|NOx|International Shipping,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Peat Burning,Mt NO2/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|NOx|Residential Commercial Other,Mt NO2/yr,constant_ratio
