,name,hierarchy,countries,iso3
132,GCAM 7.1|Southeast Asia,GCAM 7.1,"['American Samoa', 'Myanmar', 'Solomon Islands', 'Brunei Darussalam', 'Cambodia', 'Cook Islands', 'Fiji', 'Micronesia', 'French Polynesia', 'Guam', 'North Korea', 'Kiribati', 'Laos', 'Malaysia', 'New Caledonia', 'Niue', 'Northern Mariana Islands', 'Mayotte', 'Norfolk Island', 'Cocos (Keeling) Islands', 'Christmas Island', 'Vanuatu', 'Nauru', 'Papua New Guinea', 'Philippines', 'Seychelles', 'Singapore', 'Thailand', 'Tokelau', 'Tonga', 'Tuvalu', 'Viet Nam', 'Samoa', 'Timor-Leste', 'Palau', 'Marshall Islands']","['ASM', 'MMR', 'SLB', 'BRN', 'KHM', 'COK', 'FJI', 'FSM', 'PYF', 'GUM', 'PRK', 'KIR', 'LAO', 'MYS', 'NCL', 'NIU', 'MNP', 'MYT', 'NFK', 'CCK', 'CXR', 'VUT', 'NRU', 'PNG', 'PHL', 'SYC', 'SGP', 'THA', 'TKL', 'TON', 'TUV', 'VNM', 'WSM', 'TLS', 'PLW', 'MHL']"
133,GCAM 7.1|Taiwan,GCAM 7.1,['Taiwan'],['TWN']
134,GCAM 7.1|USA,GCAM 7.1,"['Puerto Rico', 'United States', 'United States Virgin Islands']","['PRI', 'USA', 'VIR']"
135,IMACLIM 2.0|Africa,IMACLIM 2.0,"['Algeria', 'Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cabo Verde', 'Cameroon', 'Central African Republic', 'Chad', 'Comoros', ""Côte d'Ivoire"", 'Democratic Republic of the Congo', 'Djibouti', 'Egypt', 'Equatorial Guinea', 'Eritrea', 'Eswatini', 'Ethiopia', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Libya', 'Madagascar', 'Malawi', 'Mali', 'Mauritania', 'Mauritius', 'Morocco', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Rwanda', 'Saint Helena, Ascension and Tristan da Cunha', 'Sao Tome and Principe', 'Senegal', 'Seychelles', 'Sierra Leone', 'Somalia', 'South Africa', 'Sudan', 'Tanzania', 'Togo', 'Tunisia', 'Uganda', 'Zambia', 'Zimbabwe', 'Western Sahara']","['DZA', 'AGO', 'BEN', 'BWA', 'BFA', 'BDI', 'CPV', 'CMR', 'CAF', 'TCD', 'COM', 'CIV', 'COD', 'DJI', 'EGY', 'GNQ', 'ERI', 'SWZ', 'ETH', 'GAB', 'GMB', 'GHA', 'GIN', 'GNB', 'KEN', 'LSO', 'LBR', 'LBY', 'MDG', 'MWI', 'MLI', 'MRT', 'MUS', 'MAR', 'MOZ', 'NAM', 'NER', 'NGA', 'RWA', 'SHN', 'STP', 'SEN', 'SYC', 'SLE', 'SOM', 'ZAF', 'SDN', 'TZA', 'TGO', 'TUN', 'UGA', 'ZMB', 'ZWE', 'ESH']"
136,IMACLIM 2.0|Brazil,IMACLIM 2.0,['Brazil'],['BRA']
137,IMACLIM 2.0|Canada,IMACLIM 2.0,['Canada'],['CAN']
138,IMACLIM 2.0|China,IMACLIM 2.0,['China'],['CHN']
139,IMACLIM 2.0|Former Soviet Union excluding EU Baltic countries,IMACLIM 2.0,"['Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['ARM', 'AZE', 'BLR', 'GEO', 'KAZ', 'KGZ', 'MDA', 'RUS', 'TJK', 'TKM', 'UKR', 'UZB']"
140,IMACLIM 2.0|Europe excluding FSU,IMACLIM 2.0,"['Albania', 'Andorra', 'Austria', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Faroe Islands', 'Finland', 'France', 'Germany', 'Gibraltar', 'Greece', 'Guadeloupe', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Martinique', 'Monaco', 'Montenegro', 'Netherlands', 'North Macedonia', 'Norway', 'Poland', 'Portugal', 'Réunion', 'Romania', 'San Marino', 'Serbia', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom', 'Vatican']","['ALB', 'AND', 'AUT', 'BEL', 'BIH', 'BGR', 'HRV', 'CYP', 'CZE', 'DNK', 'EST', 'FRO', 'FIN', 'FRA', 'DEU', 'GIB', 'GRC', 'GLP', 'HUN', 'ISL', 'IRL', 'ITA', 'LVA', 'LIE', 'LTU', 'LUX', 'MLT', 'MTQ', 'MCO', 'MNE', 'NLD', 'MKD', 'NOR', 'POL', 'PRT', 'REU', 'ROU', 'SMR', 'SRB', 'SVK', 'SVN', 'ESP', 'SWE', 'CHE', 'GBR', 'VAT']"
141,IMACLIM 2.0|India,IMACLIM 2.0,['India'],['IND']
142,"IMACLIM 2.0|Japan, Australia, New Zealand and Korea",IMACLIM 2.0,"['Australia', 'Japan', 'New Zealand', 'South Korea', 'North Korea', 'New Caledonia', 'Aruba', 'American Samoa', 'Cook Islands', 'Fiji', 'French Polynesia', 'Kiribati', 'Marshall Islands', 'Micronesia', 'Nauru', 'Niue', 'Northern Mariana Islands', 'Palau', 'Papua New Guinea', 'Samoa', 'Solomon Islands', 'Tokelau', 'Tonga', 'Tuvalu', 'Vanuatu']","['AUS', 'JPN', 'NZL', 'KOR', 'PRK', 'NCL', 'ABW', 'ASM', 'COK', 'FJI', 'PYF', 'KIR', 'MHL', 'FSM', 'NRU', 'NIU', 'MNP', 'PLW', 'PNG', 'WSM', 'SLB', 'TKL', 'TON', 'TUV', 'VUT']"
143,IMACLIM 2.0|Middle East,IMACLIM 2.0,"['Bahrain', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'Turkey', 'United Arab Emirates', 'Yemen']","['BHR', 'IRN', 'IRQ', 'ISR', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'TUR', 'ARE', 'YEM']"
